,Unnamed: 0.1,stage_name,stage_score,stage_rank,Unnamed: 0,category_round_id,round_name,score,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,route_id,route_name,top,top_tries,zone,zone_tries,low_zone,points,low_zone_tries,modified,status,plus,restarted,time_ms
68,40,Boulder,54.4,5,20,8353,Final,93.5,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839.0,4,True,2.0,True,1.0,True,24.9,1.0,2023-08-11 18:31:46 +00:00,locked,,,
69,41,Lead,39.1,7,20,8353,Final,93.5,2294,7,Miho,NONAKA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840.0,1,False,,,,,,,2023-08-11 19:53:42 +00:00,locked,True,False,0.0
70,44,Boulder,53.5,5,22,8351,Semi-final,92.5,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826.0,1,False,5.0,True,4.0,True,9.7,4.0,2023-08-09 08:47:59 +00:00,locked,,,
71,44,Boulder,53.5,5,22,8351,Semi-final,92.5,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,False,7.0,True,2.0,True,9.9,2.0,2023-08-09 08:59:41 +00:00,locked,,,
72,44,Boulder,53.5,5,22,8351,Semi-final,92.5,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,False,9.0,True,9.0,True,9.2,1.0,2023-08-09 09:10:28 +00:00,locked,,,
73,44,Boulder,53.5,5,22,8351,Semi-final,92.5,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,True,4.0,True,2.0,True,24.7,2.0,2023-08-09 09:22:16 +00:00,locked,,,
74,45,Lead,39.0,15,22,8351,Semi-final,92.5,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830.0,1,False,,,,,,,2023-08-09 19:31:59 +00:00,locked,False,False,0.0
75,46,Boulder,24.6,7,23,8353,Final,69.7,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836.0,1,False,7.0,True,3.0,True,9.8,1.0,2023-08-11 17:20:42 +00:00,locked,,,
76,46,Boulder,24.6,7,23,8353,Final,69.7,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837.0,2,False,4.0,False,4.0,True,5.0,1.0,2023-08-11 17:41:35 +00:00,locked,,,
77,46,Boulder,24.6,7,23,8353,Final,69.7,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838.0,3,False,3.0,False,3.0,True,4.9,2.0,2023-08-11 18:01:36 +00:00,locked,,,
78,46,Boulder,24.6,7,23,8353,Final,69.7,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839.0,4,False,8.0,False,8.0,True,4.9,2.0,2023-08-11 18:23:49 +00:00,locked,,,
79,47,Lead,45.1,6,23,8353,Final,69.7,13021,8,Anastasia,SANDERS,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840.0,1,False,,,,,,,2023-08-11 19:42:40 +00:00,locked,True,False,0.0
80,50,Boulder,34.4,10,25,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826.0,1,False,3.0,True,1.0,True,10.0,1.0,2023-08-09 08:48:16 +00:00,locked,,,
81,50,Boulder,34.4,10,25,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,False,7.0,False,7.0,True,5.0,1.0,2023-08-09 08:59:47 +00:00,locked,,,
82,50,Boulder,34.4,10,25,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,False,7.0,True,2.0,True,9.9,2.0,2023-08-09 09:10:35 +00:00,locked,,,
83,50,Boulder,34.4,10,25,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,,,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,False,8.0,True,6.0,True,9.5,1.0,2023-08-09 09:22:22 +00:00,locked,,,
