,route_id,route_name,top,plus,rank,corrective_rank,score,Unnamed: 0,category_round_id,round_name,athlete_id,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages,restarted,time_ms,modified,status,ascents
113,1085.0,1,False,True,39.0,32.0,35.1,74,6141,Qualification,1259,Eva Maria,HAMMELMÜLLER,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
114,1086.0,2,False,True,39.0,38.5,35.1,74,6141,Qualification,1259,Eva Maria,HAMMELMÜLLER,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
115,1085.0,1,False,True,41.0,37.0,37.74,75,6141,Qualification,3424,Käthe,ATKINS,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
116,1086.0,2,False,True,41.0,38.5,37.74,75,6141,Qualification,3424,Käthe,ATKINS,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
117,1085.0,1,False,True,42.0,37.0,41.26,76,6141,Qualification,4017,Ayala,KEREM,,,ISR,60,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
118,1086.0,2,False,True,42.0,46.0,41.26,76,6141,Qualification,4017,Ayala,KEREM,,,ISR,60,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
119,1085.0,1,False,True,43.0,40.0,42.9,77,6141,Qualification,3986,Yael,TAUB,,,ISR,60,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
120,1086.0,2,False,True,43.0,46.0,42.9,77,6141,Qualification,3986,Yael,TAUB,,,ISR,60,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
121,1085.0,1,False,True,44.0,48.5,43.21,78,6141,Qualification,1453,Marketa,JANOSOVA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
122,1086.0,2,False,True,44.0,38.5,43.21,78,6141,Qualification,1453,Marketa,JANOSOVA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
123,1085.0,1,False,True,44.0,48.5,43.21,79,6141,Qualification,11784,Hana,KOIKE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
124,1086.0,2,False,True,44.0,38.5,43.21,79,6141,Qualification,11784,Hana,KOIKE,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
125,1085.0,1,False,False,46.0,58.0,43.75,80,6141,Qualification,3979,Valeri,KREMER,,,ISR,60,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
126,1086.0,2,False,False,46.0,33.0,43.75,80,6141,Qualification,3979,Valeri,KREMER,,,ISR,60,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
